timestamp,medianAPY,avg7day
2022-02-11,7.175,
2022-02-12,7.27,
2022-02-13,5.29,
2022-02-14,5.795,
2022-02-15,6.16,
2022-02-16,6.23,
2022-02-17,5.75,6.238571428571428
2022-02-18,6.14,6.090714285714285
2022-02-19,5.3,5.809285714285714
2022-02-20,5.42,5.827857142857143
2022-02-21,5.57,5.795714285714285
2022-02-22,6.85,5.894285714285715
2022-02-23,5.16,5.741428571428571
2022-02-24,9.205,6.234999999999999
2022-02-25,6.335,6.262857142857143
2022-02-26,4.94,6.211428571428571
2022-02-27,4.02,6.011428571428572
2022-02-28,5.52,6.0042857142857144
2022-03-01,6.03,5.887142857142857
2022-03-02,6.315,6.052142857142856
2022-03-03,5.05,5.458571428571427
2022-03-04,5,5.267857142857143
2022-03-05,5.11,5.292142857142857
2022-03-06,4.03,5.29357142857143
2022-03-07,5.11,5.235
2022-03-08,5.8,5.202142857142857
2022-03-09,5.335,5.062142857142858
2022-03-10,5.1,5.069285714285714
2022-03-11,3.94,4.917857142857143
2022-03-12,3.93,4.7492857142857146
2022-03-13,3.85,4.723571428571428
2022-03-14,4.31,4.609285714285714
2022-03-15,4.19,4.3792857142857144
2022-03-16,4.78,4.3
2022-03-17,4.52,4.217142857142858
2022-03-18,4.04,4.231428571428571
2022-03-19,4.46,4.307142857142858
2022-03-20,4.865,4.452142857142857
2022-03-21,4.72,4.510714285714286
2022-03-22,5.585,4.71
2022-03-23,5,4.741428571428571
2022-03-24,4.92,4.798571428571429
2022-03-25,5.38,4.99
2022-03-26,4.845,5.045000000000001
2022-03-27,1.81486,4.609265714285714
2022-03-28,2.65612,4.314425714285714
2022-03-29,2.4864,3.8717685714285714
2022-03-30,2.27597,3.4826214285714285
2022-03-31,2.6626,3.1601357142857145
2022-04-01,2.46926,2.7443157142857144
2022-04-02,2.29871,2.38056
2022-04-03,1.8965,2.3922228571428574
2022-04-04,2.29851,2.341135714285714
2022-04-05,1.98386,2.269344285714286
2022-04-06,2.70721,2.33095
2022-04-07,1.90526,2.2227585714285714
2022-04-08,1.91512,2.143595714285714
2022-04-09,1.38631,2.013252857142857
2022-04-10,1.28252,1.9255414285714285
2022-04-11,2.53826,1.9597914285714286
2022-04-12,2.10372,1.9769142857142856
2022-04-13,1.62747,1.8226657142857143
2022-04-14,1.75048,1.8005542857142858
2022-04-15,1.34675,1.7193585714285715
2022-04-16,1.06703,1.6737471428571429
2022-04-17,1.11265,1.6494800000000003
2022-04-18,2.04499,1.579012857142857
2022-04-19,1.60998,1.5084785714285716
2022-04-20,1.57832,1.5014571428571428
2022-04-21,1.89403,1.5219642857142859
2022-04-22,1.57328,1.5543257142857143
2022-04-23,1.18612,1.5713385714285715
2022-04-24,1.15843,1.5778785714285715
2022-04-25,2.03568,1.5765485714285714
2022-04-26,1.88132,1.6153114285714287
2022-04-27,1.55788,1.612391428571429
2022-04-28,1.56836,1.5658671428571431
2022-04-29,1.97002,1.6225442857142856
2022-04-30,1.79123,1.7089885714285715
2022-05-01,1.71913,1.7890885714285716
2022-05-02,1.45559,1.7062185714285714
2022-05-03,1.56558,1.6611128571428573
2022-05-04,1.99654,1.7237785714285714
2022-05-05,2.30518,1.8290385714285713
